instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,is_holiday,season_name
4389,2011-07-06,3,0,7,18,0,3,1,1,0.76,0.7121,0.62,0.194,77,486,563,Wednesday,work_day,Fall
4390,2011-07-06,3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,71,323,394,Wednesday,work_day,Fall
4391,2011-07-06,3,0,7,20,0,3,1,1,0.72,0.697,0.74,0.2537,55,257,312,Wednesday,work_day,Fall
4392,2011-07-06,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,66,175,241,Wednesday,work_day,Fall
4393,2011-07-06,3,0,7,22,0,3,1,1,0.7,0.6667,0.79,0.194,30,156,186,Wednesday,work_day,Fall
4394,2011-07-06,3,0,7,23,0,3,1,1,0.68,0.6364,0.83,0.2239,20,78,98,Wednesday,work_day,Fall
4395,2011-07-07,3,0,7,0,0,4,1,1,0.66,0.5909,0.89,0.1343,6,29,35,Thursday,work_day,Fall
4396,2011-07-07,3,0,7,1,0,4,1,1,0.66,0.5909,0.89,0.194,2,14,16,Thursday,work_day,Fall
4397,2011-07-07,3,0,7,2,0,4,1,1,0.66,0.5909,0.89,0.194,1,7,8,Thursday,work_day,Fall
4398,2011-07-07,3,0,7,3,0,4,1,1,0.64,0.5606,0.94,0.1045,2,2,4,Thursday,work_day,Fall
4399,2011-07-07,3,0,7,4,0,4,1,1,0.64,0.5758,0.89,0.1045,0,4,4,Thursday,work_day,Fall
4400,2011-07-07,3,0,7,5,0,4,1,1,0.64,0.5758,0.89,0.1045,2,30,32,Thursday,work_day,Fall
4401,2011-07-07,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118,Thursday,work_day,Fall
4402,2011-07-07,3,0,7,7,0,4,1,2,0.66,0.5909,0.89,0.1045,13,279,292,Thursday,work_day,Fall
4403,2011-07-07,3,0,7,8,0,4,1,2,0.7,0.6667,0.79,0.194,28,415,443,Thursday,work_day,Fall
4404,2011-07-07,3,0,7,9,0,4,1,1,0.74,0.697,0.7,0.1642,25,154,179,Thursday,work_day,Fall
4405,2011-07-07,3,0,7,10,0,4,1,1,0.78,0.7424,0.62,0.0,29,72,101,Thursday,work_day,Fall
4406,2011-07-07,3,0,7,11,0,4,1,1,0.82,0.7727,0.52,0.1343,30,112,142,Thursday,work_day,Fall
4407,2011-07-07,3,0,7,12,0,4,1,1,0.84,0.7727,0.41,0.0,32,139,171,Thursday,work_day,Fall
4408,2011-07-07,3,0,7,13,0,4,1,1,0.86,0.7879,0.41,0.0,48,107,155,Thursday,work_day,Fall
4409,2011-07-07,3,0,7,14,0,4,1,1,0.86,0.7879,0.41,0.2537,39,121,160,Thursday,work_day,Fall
4410,2011-07-07,3,0,7,15,0,4,1,1,0.86,0.7879,0.41,0.2537,47,119,166,Thursday,work_day,Fall
4411,2011-07-07,3,0,7,16,0,4,1,1,0.86,0.7727,0.39,0.2239,47,218,265,Thursday,work_day,Fall
4412,2011-07-07,3,0,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,80,489,569,Thursday,work_day,Fall
4413,2011-07-07,3,0,7,18,0,4,1,1,0.84,0.7576,0.44,0.2985,70,492,562,Thursday,work_day,Fall
4414,2011-07-07,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836,79,286,365,Thursday,work_day,Fall
4415,2011-07-07,3,0,7,20,0,4,1,1,0.76,0.7121,0.58,0.3582,61,224,285,Thursday,work_day,Fall
4416,2011-07-07,3,0,7,21,0,4,1,1,0.74,0.6818,0.62,0.1642,39,170,209,Thursday,work_day,Fall
4417,2011-07-07,3,0,7,22,0,4,1,1,0.74,0.6818,0.62,0.1642,32,150,182,Thursday,work_day,Fall
4418,2011-07-07,3,0,7,23,0,4,1,1,0.72,0.6818,0.66,0.0,31,98,129,Thursday,work_day,Fall
4419,2011-07-08,3,0,7,0,0,5,1,1,0.74,0.697,0.66,0.1045,6,41,47,Friday,work_day,Fall
4420,2011-07-08,3,0,7,1,0,5,1,1,0.72,0.697,0.79,0.0,9,25,34,Friday,work_day,Fall
4421,2011-07-08,3,0,7,2,0,5,1,2,0.7,0.6667,0.74,0.1642,10,12,22,Friday,work_day,Fall
4422,2011-07-08,3,0,7,3,0,5,1,1,0.68,0.6364,0.79,0.1045,2,4,6,Friday,work_day,Fall
4423,2011-07-08,3,0,7,4,0,5,1,1,0.7,0.6667,0.79,0.2537,7,4,11,Friday,work_day,Fall
4424,2011-07-08,3,0,7,5,0,5,1,1,0.68,0.6364,0.79,0.2537,3,24,27,Friday,work_day,Fall
4425,2011-07-08,3,0,7,6,0,5,1,1,0.7,0.6667,0.74,0.1045,11,91,102,Friday,work_day,Fall
4426,2011-07-08,3,0,7,7,0,5,1,2,0.7,0.6667,0.79,0.194,30,302,332,Friday,work_day,Fall
4427,2011-07-08,3,0,7,8,0,5,1,2,0.72,0.697,0.74,0.2537,36,421,457,Friday,work_day,Fall
4428,2011-07-08,3,0,7,9,0,5,1,2,0.76,0.7273,0.7,0.2985,30,211,241,Friday,work_day,Fall
4429,2011-07-08,3,0,7,10,0,5,1,2,0.74,0.697,0.7,0.3582,30,108,138,Friday,work_day,Fall
4430,2011-07-08,3,0,7,11,0,5,1,2,0.74,0.7121,0.74,0.2537,61,104,165,Friday,work_day,Fall
4431,2011-07-08,3,0,7,12,0,5,1,2,0.76,0.7273,0.7,0.2836,49,164,213,Friday,work_day,Fall
4432,2011-07-08,3,0,7,13,0,5,1,2,0.78,0.7576,0.66,0.2836,54,175,229,Friday,work_day,Fall
4433,2011-07-08,3,0,7,14,0,5,1,2,0.8,0.7879,0.63,0.3582,53,163,216,Friday,work_day,Fall
4434,2011-07-08,3,0,7,15,0,5,1,2,0.8,0.7879,0.63,0.3582,39,102,141,Friday,work_day,Fall
4435,2011-07-08,3,0,7,16,0,5,1,3,0.68,0.6364,0.83,0.4478,27,105,132,Friday,work_day,Fall
4436,2011-07-08,3,0,7,17,0,5,1,3,0.66,0.5909,0.89,0.4478,6,161,167,Friday,work_day,Fall
4437,2011-07-08,3,0,7,18,0,5,1,1,0.66,0.6061,0.83,0.0896,35,281,316,Friday,work_day,Fall
4438,2011-07-08,3,0,7,19,0,5,1,1,0.66,0.6061,0.83,0.0896,45,225,270,Friday,work_day,Fall
4439,2011-07-08,3,0,7,20,0,5,1,1,0.66,0.6061,0.83,0.1642,30,220,250,Friday,work_day,Fall
4440,2011-07-08,3,0,7,21,0,5,1,2,0.66,0.6061,0.83,0.2537,46,158,204,Friday,work_day,Fall
4441,2011-07-08,3,0,7,22,0,5,1,2,0.66,0.6061,0.78,0.194,33,136,169,Friday,work_day,Fall
4442,2011-07-08,3,0,7,23,0,5,1,2,0.66,0.6061,0.78,0.0896,40,111,151,Friday,work_day,Fall
4443,2011-07-09,3,0,7,0,0,6,0,2,0.66,0.6061,0.83,0.1343,31,90,121,Saturday,holiday,Fall
4444,2011-07-09,3,0,7,1,0,6,0,2,0.64,0.5758,0.89,0.1045,5,48,53,Saturday,holiday,Fall
4445,2011-07-09,3,0,7,2,0,6,0,1,0.64,0.5758,0.89,0.1642,12,43,55,Saturday,holiday,Fall
4446,2011-07-09,3,0,7,3,0,6,0,1,0.64,0.5758,0.89,0.1343,7,23,30,Saturday,holiday,Fall
4447,2011-07-09,3,0,7,4,0,6,0,1,0.64,0.5758,0.83,0.2239,2,4,6,Saturday,holiday,Fall
4448,2011-07-09,3,0,7,5,0,6,0,2,0.62,0.5606,0.88,0.1642,4,11,15,Saturday,holiday,Fall
4449,2011-07-09,3,0,7,6,0,6,0,2,0.64,0.5758,0.83,0.194,11,27,38,Saturday,holiday,Fall
4450,2011-07-09,3,0,7,7,0,6,0,1,0.66,0.6061,0.78,0.194,21,50,71,Saturday,holiday,Fall
4451,2011-07-09,3,0,7,8,0,6,0,1,0.7,0.6515,0.7,0.2537,68,114,182,Saturday,holiday,Fall
4452,2011-07-09,3,0,7,9,0,6,0,1,0.74,0.6818,0.58,0.2836,77,170,247,Saturday,holiday,Fall
4453,2011-07-09,3,0,7,10,0,6,0,1,0.76,0.697,0.52,0.1642,87,177,264,Saturday,holiday,Fall
4454,2011-07-09,3,0,7,11,0,6,0,1,0.78,0.697,0.46,0.2985,101,189,290,Saturday,holiday,Fall
4455,2011-07-09,3,0,7,12,0,6,0,1,0.8,0.7273,0.46,0.2537,145,221,366,Saturday,holiday,Fall
4456,2011-07-09,3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,167,249,416,Saturday,holiday,Fall
4457,2011-07-09,3,0,7,14,0,6,0,1,0.84,0.7424,0.36,0.1343,158,215,373,Saturday,holiday,Fall
4458,2011-07-09,3,0,7,15,0,6,0,1,0.84,0.7273,0.34,0.0896,182,220,402,Saturday,holiday,Fall
4459,2011-07-09,3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0.0,171,245,416,Saturday,holiday,Fall
4460,2011-07-09,3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0.0,160,241,401,Saturday,holiday,Fall
4461,2011-07-09,3,0,7,18,0,6,0,1,0.82,0.7273,0.36,0.1045,132,246,378,Saturday,holiday,Fall
4462,2011-07-09,3,0,7,19,0,6,0,1,0.76,0.697,0.55,0.1642,128,178,306,Saturday,holiday,Fall
4463,2011-07-09,3,0,7,20,0,6,0,1,0.76,0.7121,0.58,0.2239,129,185,314,Saturday,holiday,Fall
4464,2011-07-09,3,0,7,21,0,6,0,1,0.74,0.6818,0.58,0.1642,83,155,238,Saturday,holiday,Fall
4465,2011-07-09,3,0,7,22,0,6,0,1,0.72,0.6818,0.62,0.1642,60,154,214,Saturday,holiday,Fall
4466,2011-07-09,3,0,7,23,0,6,0,1,0.72,0.6667,0.58,0.194,47,93,140,Saturday,holiday,Fall
4467,2011-07-10,3,0,7,0,0,0,0,1,0.7,0.6515,0.61,0.1642,42,112,154,Sunday,holiday,Fall
4468,2011-07-10,3,0,7,1,0,0,0,1,0.7,0.6515,0.61,0.1343,19,94,113,Sunday,holiday,Fall
4469,2011-07-10,3,0,7,2,0,0,0,1,0.68,0.6364,0.69,0.0896,28,68,96,Sunday,holiday,Fall
4470,2011-07-10,3,0,7,3,0,0,0,1,0.66,0.6212,0.74,0.0896,6,19,25,Sunday,holiday,Fall
4471,2011-07-10,3,0,7,4,0,0,0,1,0.66,0.6212,0.69,0.0896,0,5,5,Sunday,holiday,Fall
4472,2011-07-10,3,0,7,5,0,0,0,1,0.66,0.6212,0.74,0.0,7,10,17,Sunday,holiday,Fall
4473,2011-07-10,3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25,Sunday,holiday,Fall
4474,2011-07-10,3,0,7,7,0,0,0,1,0.7,0.6515,0.7,0.0896,27,38,65,Sunday,holiday,Fall
4475,2011-07-10,3,0,7,8,0,0,0,1,0.72,0.6818,0.66,0.0,27,65,92,Sunday,holiday,Fall
4476,2011-07-10,3,0,7,9,0,0,0,1,0.74,0.697,0.66,0.0896,62,107,169,Sunday,holiday,Fall
4477,2011-07-10,3,0,7,10,0,0,0,1,0.76,0.697,0.55,0.1343,95,173,268,Sunday,holiday,Fall
4478,2011-07-10,3,0,7,11,0,0,0,1,0.78,0.7273,0.55,0.194,110,177,287,Sunday,holiday,Fall
4479,2011-07-10,3,0,7,12,0,0,0,1,0.82,0.7576,0.46,0.2836,133,244,377,Sunday,holiday,Fall
4480,2011-07-10,3,0,7,13,0,0,0,1,0.8,0.7273,0.46,0.2985,139,228,367,Sunday,holiday,Fall
4481,2011-07-10,3,0,7,14,0,0,0,1,0.82,0.7424,0.41,0.3284,122,227,349,Sunday,holiday,Fall
4482,2011-07-10,3,0,7,15,0,0,0,1,0.84,0.7424,0.39,0.2836,142,219,361,Sunday,holiday,Fall
4483,2011-07-10,3,0,7,16,0,0,0,1,0.84,0.7576,0.41,0.2836,128,244,372,Sunday,holiday,Fall
4484,2011-07-10,3,0,7,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363,Sunday,holiday,Fall
4485,2011-07-10,3,0,7,18,0,0,0,1,0.82,0.7424,0.43,0.2836,141,222,363,Sunday,holiday,Fall
4486,2011-07-10,3,0,7,19,0,0,0,1,0.8,0.7424,0.49,0.3284,120,183,303,Sunday,holiday,Fall
4487,2011-07-10,3,0,7,20,0,0,0,1,0.76,0.697,0.55,0.194,101,167,268,Sunday,holiday,Fall
4488,2011-07-10,3,0,7,21,0,0,0,1,0.74,0.6818,0.62,0.2537,65,162,227,Sunday,holiday,Fall
4489,2011-07-10,3,0,7,22,0,0,0,1,0.74,0.697,0.66,0.2239,56,87,143,Sunday,holiday,Fall
4490,2011-07-10,3,0,7,23,0,0,0,1,0.72,0.6818,0.66,0.2537,19,53,72,Sunday,holiday,Fall
4491,2011-07-11,3,0,7,0,0,1,1,1,0.7,0.6515,0.65,0.194,10,25,35,Monday,work_day,Fall
4492,2011-07-11,3,0,7,1,0,1,1,1,0.7,0.6515,0.61,0.2836,5,5,10,Monday,work_day,Fall
4493,2011-07-11,3,0,7,2,0,1,1,1,0.7,0.6515,0.61,0.2239,8,4,12,Monday,work_day,Fall
4494,2011-07-11,3,0,7,3,0,1,1,1,0.68,0.6364,0.65,0.1642,2,8,10,Monday,work_day,Fall
4495,2011-07-11,3,0,7,4,0,1,1,1,0.66,0.6212,0.74,0.2239,0,4,4,Monday,work_day,Fall
4496,2011-07-11,3,0,7,5,0,1,1,1,0.66,0.6212,0.74,0.1343,5,21,26,Monday,work_day,Fall
4497,2011-07-11,3,0,7,6,0,1,1,1,0.68,0.6364,0.74,0.194,19,102,121,Monday,work_day,Fall
4498,2011-07-11,3,0,7,7,0,1,1,1,0.7,0.6667,0.74,0.2537,28,289,317,Monday,work_day,Fall
4499,2011-07-11,3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420,Monday,work_day,Fall
4500,2011-07-11,3,0,7,9,0,1,1,1,0.78,0.7424,0.59,0.2985,41,167,208,Monday,work_day,Fall
4501,2011-07-11,3,0,7,10,0,1,1,1,0.8,0.7576,0.55,0.3582,44,73,117,Monday,work_day,Fall
4502,2011-07-11,3,0,7,11,0,1,1,1,0.82,0.7879,0.56,0.2985,39,89,128,Monday,work_day,Fall
4503,2011-07-11,3,0,7,12,0,1,1,1,0.84,0.803,0.53,0.2836,40,108,148,Monday,work_day,Fall
4504,2011-07-11,3,0,7,13,0,1,1,1,0.86,0.8182,0.5,0.2537,22,119,141,Monday,work_day,Fall
4505,2011-07-11,3,0,7,14,0,1,1,1,0.86,0.8333,0.53,0.2836,40,94,134,Monday,work_day,Fall
4506,2011-07-11,3,0,7,15,0,1,1,1,0.86,0.8485,0.56,0.4179,38,108,146,Monday,work_day,Fall
4507,2011-07-11,3,0,7,16,0,1,1,1,0.86,0.8485,0.56,0.3881,57,182,239,Monday,work_day,Fall
4508,2011-07-11,3,0,7,17,0,1,1,1,0.86,0.8485,0.56,0.4179,59,455,514,Monday,work_day,Fall
4509,2011-07-11,3,0,7,18,0,1,1,1,0.86,0.8333,0.53,0.3881,57,415,472,Monday,work_day,Fall
4510,2011-07-11,3,0,7,19,0,1,1,1,0.84,0.8333,0.59,0.3284,80,293,373,Monday,work_day,Fall
4511,2011-07-11,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.4179,42,194,236,Monday,work_day,Fall
4512,2011-07-11,3,0,7,21,0,1,1,1,0.7,0.6667,0.79,0.4179,21,109,130,Monday,work_day,Fall
4513,2011-07-11,3,0,7,22,0,1,1,1,0.72,0.697,0.74,0.1343,20,70,90,Monday,work_day,Fall
4514,2011-07-11,3,0,7,23,0,1,1,1,0.7,0.6667,0.79,0.1343,11,44,55,Monday,work_day,Fall
4515,2011-07-12,3,0,7,0,0,2,1,1,0.7,0.6667,0.79,0.1343,3,19,22,Tuesday,work_day,Fall
4516,2011-07-12,3,0,7,1,0,2,1,1,0.7,0.6667,0.79,0.0896,6,8,14,Tuesday,work_day,Fall
4517,2011-07-12,3,0,7,2,0,2,1,1,0.7,0.6667,0.79,0.1045,2,7,9,Tuesday,work_day,Fall
4518,2011-07-12,3,0,7,3,0,2,1,2,0.7,0.6667,0.79,0.0,2,6,8,Tuesday,work_day,Fall
4519,2011-07-12,3,0,7,4,0,2,1,1,0.7,0.6667,0.79,0.1642,0,6,6,Tuesday,work_day,Fall
4520,2011-07-12,3,0,7,5,0,2,1,1,0.7,0.6667,0.79,0.0896,4,21,25,Tuesday,work_day,Fall
4521,2011-07-12,3,0,7,6,0,2,1,1,0.74,0.6818,0.58,0.2239,13,102,115,Tuesday,work_day,Fall
4522,2011-07-12,3,0,7,7,0,2,1,1,0.76,0.697,0.55,0.194,29,301,330,Tuesday,work_day,Fall
4523,2011-07-12,3,0,7,8,0,2,1,1,0.76,0.7121,0.58,0.2239,35,382,417,Tuesday,work_day,Fall
4524,2011-07-12,3,0,7,9,0,2,1,1,0.78,0.7273,0.55,0.4925,27,149,176,Tuesday,work_day,Fall
4525,2011-07-12,3,0,7,10,0,2,1,1,0.82,0.7727,0.52,0.1642,38,85,123,Tuesday,work_day,Fall
4526,2011-07-12,3,0,7,11,0,2,1,1,0.82,0.7727,0.52,0.1642,39,86,125,Tuesday,work_day,Fall
4527,2011-07-12,3,0,7,12,0,2,1,1,0.86,0.7879,0.44,0.2985,38,125,163,Tuesday,work_day,Fall
4528,2011-07-12,3,0,7,13,0,2,1,1,0.86,0.803,0.47,0.2239,32,104,136,Tuesday,work_day,Fall
4529,2011-07-12,3,0,7,14,0,2,1,1,0.9,0.8485,0.42,0.2985,33,91,124,Tuesday,work_day,Fall
4530,2011-07-12,3,0,7,15,0,2,1,1,0.9,0.8485,0.42,0.3582,37,111,148,Tuesday,work_day,Fall
4531,2011-07-12,3,0,7,16,0,2,1,1,0.86,0.7879,0.44,0.2836,25,177,202,Tuesday,work_day,Fall
4532,2011-07-12,3,0,7,17,0,2,1,1,0.88,0.8182,0.44,0.2836,48,380,428,Tuesday,work_day,Fall
4533,2011-07-12,3,0,7,18,0,2,1,1,0.86,0.803,0.47,0.2985,39,472,511,Tuesday,work_day,Fall
4534,2011-07-12,3,0,7,19,0,2,1,1,0.84,0.7576,0.44,0.2836,42,295,337,Tuesday,work_day,Fall
4535,2011-07-12,3,0,7,20,0,2,1,1,0.82,0.7424,0.43,0.194,57,251,308,Tuesday,work_day,Fall
4536,2011-07-12,3,0,7,21,0,2,1,1,0.82,0.7424,0.43,0.1045,49,209,258,Tuesday,work_day,Fall
4537,2011-07-12,3,0,7,22,0,2,1,1,0.8,0.7273,0.46,0.1343,44,150,194,Tuesday,work_day,Fall
4538,2011-07-12,3,0,7,23,0,2,1,1,0.78,0.7121,0.52,0.0,20,59,79,Tuesday,work_day,Fall
4539,2011-07-13,3,0,7,0,0,3,1,1,0.76,0.7121,0.62,0.0,9,37,46,Wednesday,work_day,Fall
4540,2011-07-13,3,0,7,1,0,3,1,1,0.76,0.697,0.55,0.0,1,11,12,Wednesday,work_day,Fall
4541,2011-07-13,3,0,7,2,0,3,1,1,0.76,0.697,0.55,0.0,2,3,5,Wednesday,work_day,Fall
4542,2011-07-13,3,0,7,3,0,3,1,1,0.74,0.6818,0.58,0.194,0,4,4,Wednesday,work_day,Fall
4543,2011-07-13,3,0,7,4,0,3,1,1,0.74,0.6818,0.58,0.2537,0,5,5,Wednesday,work_day,Fall
4544,2011-07-13,3,0,7,5,0,3,1,1,0.74,0.6818,0.58,0.194,4,22,26,Wednesday,work_day,Fall
4545,2011-07-13,3,0,7,6,0,3,1,1,0.74,0.6818,0.58,0.1642,18,103,121,Wednesday,work_day,Fall
4546,2011-07-13,3,0,7,7,0,3,1,1,0.76,0.697,0.55,0.2537,32,281,313,Wednesday,work_day,Fall
4547,2011-07-13,3,0,7,8,0,3,1,1,0.8,0.7424,0.49,0.2537,31,418,449,Wednesday,work_day,Fall
4548,2011-07-13,3,0,7,9,0,3,1,1,0.82,0.7424,0.41,0.194,23,163,186,Wednesday,work_day,Fall
4549,2011-07-13,3,0,7,10,0,3,1,1,0.82,0.7576,0.46,0.194,33,80,113,Wednesday,work_day,Fall
4550,2011-07-13,3,0,7,11,0,3,1,1,0.84,0.7424,0.39,0.1642,55,110,165,Wednesday,work_day,Fall
4551,2011-07-13,3,0,7,12,0,3,1,1,0.84,0.7576,0.41,0.2836,40,134,174,Wednesday,work_day,Fall
4552,2011-07-13,3,0,7,13,0,3,1,3,0.82,0.7576,0.46,0.1343,39,119,158,Wednesday,work_day,Fall
4553,2011-07-13,3,0,7,14,0,3,1,3,0.82,0.7576,0.46,0.1343,27,89,116,Wednesday,work_day,Fall
4554,2011-07-13,3,0,7,15,0,3,1,3,0.64,0.5606,0.94,0.1343,13,33,46,Wednesday,work_day,Fall
4555,2011-07-13,3,0,7,16,0,3,1,2,0.66,0.5909,0.89,0.0,23,118,141,Wednesday,work_day,Fall
4556,2011-07-13,3,0,7,17,0,3,1,1,0.7,0.6667,0.79,0.0,70,418,488,Wednesday,work_day,Fall
4557,2011-07-13,3,0,7,18,0,3,1,1,0.72,0.697,0.79,0.1343,51,412,463,Wednesday,work_day,Fall
4558,2011-07-13,3,0,7,19,0,3,1,1,0.7,0.6667,0.79,0.1045,79,340,419,Wednesday,work_day,Fall
4559,2011-07-13,3,0,7,20,0,3,1,1,0.7,0.6667,0.84,0.1642,61,281,342,Wednesday,work_day,Fall
4560,2011-07-13,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.1045,56,194,250,Wednesday,work_day,Fall
4561,2011-07-13,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,48,136,184,Wednesday,work_day,Fall
4562,2011-07-13,3,0,7,23,0,3,1,1,0.66,0.6061,0.83,0.2537,33,83,116,Wednesday,work_day,Fall
4563,2011-07-14,3,0,7,0,0,4,1,1,0.66,0.6212,0.69,0.2985,14,32,46,Thursday,work_day,Fall
4564,2011-07-14,3,0,7,1,0,4,1,1,0.66,0.6212,0.61,0.2537,4,21,25,Thursday,work_day,Fall
4565,2011-07-14,3,0,7,2,0,4,1,1,0.64,0.6212,0.57,0.2985,3,7,10,Thursday,work_day,Fall
4566,2011-07-14,3,0,7,3,0,4,1,1,0.62,0.6212,0.57,0.2985,1,5,6,Thursday,work_day,Fall
4567,2011-07-14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6,Thursday,work_day,Fall
4568,2011-07-14,3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,6,22,28,Thursday,work_day,Fall
4569,2011-07-14,3,0,7,6,0,4,1,1,0.6,0.6061,0.6,0.2239,14,116,130,Thursday,work_day,Fall
4570,2011-07-14,3,0,7,7,0,4,1,1,0.62,0.6212,0.53,0.2537,23,311,334,Thursday,work_day,Fall
4571,2011-07-14,3,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,53,433,486,Thursday,work_day,Fall
4572,2011-07-14,3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224,Thursday,work_day,Fall
4573,2011-07-14,3,0,7,10,0,4,1,1,0.7,0.6364,0.42,0.2537,32,95,127,Thursday,work_day,Fall
4574,2011-07-14,3,0,7,11,0,4,1,1,0.72,0.6515,0.37,0.2239,38,110,148,Thursday,work_day,Fall
4575,2011-07-14,3,0,7,12,0,4,1,1,0.74,0.6515,0.35,0.2537,51,172,223,Thursday,work_day,Fall
4576,2011-07-14,3,0,7,13,0,4,1,1,0.76,0.6667,0.33,0.3284,39,138,177,Thursday,work_day,Fall
4577,2011-07-14,3,0,7,14,0,4,1,1,0.74,0.6515,0.35,0.2836,49,129,178,Thursday,work_day,Fall
4578,2011-07-14,3,0,7,15,0,4,1,1,0.76,0.6667,0.33,0.2985,42,138,180,Thursday,work_day,Fall
4579,2011-07-14,3,0,7,16,0,4,1,1,0.76,0.6667,0.33,0.1343,43,231,274,Thursday,work_day,Fall
4580,2011-07-14,3,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,78,517,595,Thursday,work_day,Fall
4581,2011-07-14,3,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,94,484,578,Thursday,work_day,Fall
4582,2011-07-14,3,0,7,19,0,4,1,1,0.72,0.6515,0.39,0.2239,67,333,400,Thursday,work_day,Fall
4583,2011-07-14,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,348,Thursday,work_day,Fall
4584,2011-07-14,3,0,7,21,0,4,1,1,0.66,0.6212,0.5,0.1343,58,203,261,Thursday,work_day,Fall
4585,2011-07-14,3,0,7,22,0,4,1,1,0.64,0.6212,0.57,0.0896,42,134,176,Thursday,work_day,Fall
4586,2011-07-14,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124,Thursday,work_day,Fall
4587,2011-07-15,3,0,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,23,57,80,Friday,work_day,Fall
4588,2011-07-15,3,0,7,1,0,5,1,1,0.62,0.5909,0.73,0.194,7,13,20,Friday,work_day,Fall
4589,2011-07-15,3,0,7,2,0,5,1,1,0.6,0.5758,0.78,0.1642,16,22,38,Friday,work_day,Fall
4590,2011-07-15,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194,1,6,7,Friday,work_day,Fall
4591,2011-07-15,3,0,7,4,0,5,1,1,0.6,0.5909,0.73,0.1642,2,8,10,Friday,work_day,Fall
4592,2011-07-15,3,0,7,5,0,5,1,1,0.6,0.5909,0.73,0.1343,7,16,23,Friday,work_day,Fall
4593,2011-07-15,3,0,7,6,0,5,1,2,0.6,0.5909,0.73,0.1045,12,108,120,Friday,work_day,Fall
4594,2011-07-15,3,0,7,7,0,5,1,1,0.64,0.6061,0.65,0.1045,17,257,274,Friday,work_day,Fall
4595,2011-07-15,3,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,50,514,564,Friday,work_day,Fall
4596,2011-07-15,3,0,7,9,0,5,1,1,0.68,0.6364,0.54,0.194,31,176,207,Friday,work_day,Fall
4597,2011-07-15,3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166,Friday,work_day,Fall
4598,2011-07-15,3,0,7,11,0,5,1,1,0.7,0.6515,0.54,0.1343,73,137,210,Friday,work_day,Fall
4599,2011-07-15,3,0,7,12,0,5,1,1,0.7,0.6515,0.48,0.194,61,177,238,Friday,work_day,Fall
4600,2011-07-15,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,85,162,247,Friday,work_day,Fall
4601,2011-07-15,3,0,7,14,0,5,1,1,0.7,0.6515,0.51,0.194,105,160,265,Friday,work_day,Fall
4602,2011-07-15,3,0,7,15,0,5,1,1,0.72,0.6515,0.45,0.1642,74,163,237,Friday,work_day,Fall
4603,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361,Friday,work_day,Fall
4604,2011-07-15,3,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,104,483,587,Friday,work_day,Fall
4605,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,102,394,496,Friday,work_day,Fall
4606,2011-07-15,3,0,7,19,0,5,1,1,0.7,0.6364,0.45,0.2239,114,280,394,Friday,work_day,Fall
4607,2011-07-15,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,92,251,343,Friday,work_day,Fall
4608,2011-07-15,3,0,7,21,0,5,1,1,0.66,0.6212,0.54,0.1045,75,186,261,Friday,work_day,Fall
4609,2011-07-15,3,0,7,22,0,5,1,1,0.66,0.6212,0.57,0.2239,71,152,223,Friday,work_day,Fall
4610,2011-07-15,3,0,7,23,0,5,1,1,0.64,0.6212,0.61,0.1642,41,126,167,Friday,work_day,Fall
